Rank,Team,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
1,Merrimack (NEC),11,5-6,28,123,0.228
2,Florida A&M (SWAC),13,12-1,50,177,0.282
3,Montana (Big Sky),15,13-2,63,216,0.292
4,Richmond (CAA),13,9-4,46,157,0.293
5,Youngstown St. (MVFC),13,8-5,42,143,0.294
6,Alabama St. (SWAC),11,7-4,45,149,0.302
7,UIW (Southland),10,8-2,43,142,0.303
8,Austin Peay (ASUN),12,9-3,57,188,0.303
9,Furman (SoCon),13,10-3,59,183,0.322
10,Tennessee Tech (OVC),11,4-7,51,158,0.323
11,Villanova (CAA),13,10-3,57,176,0.324
12,San Diego (Pioneer),11,4-7,46,142,0.324
13,Davidson (Pioneer),11,7-4,41,126,0.325
14,UC Davis (Big Sky),11,7-4,51,156,0.327
15,UT Martin (OVC),11,8-3,60,183,0.328
16,William & Mary (CAA),11,6-5,42,128,0.328
17,Dartmouth (Ivy League),10,6-4,46,140,0.329
18,Southern Utah (ASUN),11,6-5,51,155,0.329
19,North Dakota St. (MVFC),15,11-4,59,179,0.33
20,Bethune-Cookman (SWAC),11,3-8,45,136,0.331
21,New Hampshire (CAA),11,6-5,47,141,0.333
22,Sacred Heart (NEC),11,2-9,49,146,0.336
23,South Dakota St. (MVFC),15,15-0,63,187,0.337
24,Montana St. (Big Sky),12,8-4,52,154,0.338
25,Delaware (CAA),13,9-4,58,171,0.339
26,Jackson St. (SWAC),11,7-4,48,141,0.34
27,Northwestern St. (Southland),6,0-6,30,87,0.345
28,Butler (Pioneer),11,7-4,49,142,0.345
29,Alcorn (SWAC),11,7-4,51,146,0.349
30,Central Ark. (ASUN),11,7-4,52,148,0.351
30,N.C. Central (MEAC),12,9-3,52,148,0.351
32,Morgan St. (MEAC),10,4-6,49,139,0.353
33,Gardner-Webb (OVC),12,7-5,66,187,0.353
33,South Carolina St. (MEAC),11,5-6,48,136,0.353
35,Samford (SoCon),11,6-5,53,150,0.353
36,North Ala. (ASUN),11,3-8,54,152,0.355
37,Princeton (Ivy League),10,5-5,58,163,0.356
38,Tennessee St. (OVC),11,6-5,57,160,0.356
39,Mercer (SoCon),13,9-4,67,186,0.36
40,Valparaiso (Pioneer),11,3-8,58,161,0.36
41,Mississippi Val. (SWAC),11,1-10,49,136,0.36
42,Alabama A&M (SWAC),11,5-6,53,147,0.361
42,Nicholls (Southland),11,6-5,53,147,0.361
44,Prairie View (SWAC),12,6-6,52,143,0.364
45,Eastern Ill. (OVC),11,8-3,54,148,0.365
46,Columbia (Ivy League),10,3-7,57,155,0.368
47,Kennesaw St. (FCS Independent),9,3-6,47,127,0.37
48,VMI (SoCon),11,5-6,57,153,0.373
49,Chattanooga (SoCon),13,8-5,65,174,0.374
50,Southern Ill. (MVFC),13,8-5,68,182,0.374
51,Southern U. (SWAC),11,6-5,61,162,0.377
52,Southeast Mo. St. (OVC),11,4-7,58,154,0.377
53,Georgetown (Patriot),11,5-6,52,138,0.377
54,Grambling (SWAC),11,5-6,54,143,0.378
55,Stetson (Pioneer),11,3-8,48,127,0.378
56,Howard (MEAC),12,6-6,55,145,0.379
57,Rhode Island (CAA),11,6-5,57,150,0.38
58,UAlbany (CAA),15,11-4,81,213,0.38
59,Weber St. (Big Sky),11,6-5,64,168,0.381
60,Drake (Pioneer),12,8-4,61,160,0.381
61,Lafayette (Patriot),12,9-3,63,165,0.382
62,Wagner (NEC),11,4-7,52,136,0.382
63,Robert Morris (OVC),11,4-7,48,125,0.384
64,Central Conn. St. (NEC),11,3-8,55,143,0.385
65,Charleston So. (OVC),11,4-7,62,160,0.388
66,Sacramento St. (Big Sky),13,8-5,69,178,0.388
67,LIU (NEC),11,4-7,60,154,0.39
68,SFA (ASUN),11,3-8,53,136,0.39
69,Norfolk St. (MEAC),11,3-8,46,117,0.393
70,Presbyterian (Pioneer),11,4-7,64,162,0.395
71,Duquesne (NEC),12,7-5,63,159,0.396
72,Monmouth (CAA),11,4-7,56,141,0.397
73,Dayton (Pioneer),11,4-7,58,145,0.4
73,Southeastern La. (Southland),11,3-8,56,140,0.4
75,Penn (Ivy League),10,6-4,65,162,0.401
76,ETSU (SoCon),11,3-8,63,157,0.401
77,UNI (MVFC),11,6-5,57,142,0.401
78,N.C. A&T (CAA),11,1-10,55,137,0.401
79,Northern Ariz. (Big Sky),11,5-6,58,143,0.406
80,Bryant (OVC),11,6-5,63,155,0.406
81,Wofford (SoCon),11,2-9,63,154,0.409
82,Elon (CAA),11,6-5,64,156,0.41
83,Fordham (Patriot),11,6-5,61,148,0.412
84,Harvard (Ivy League),10,8-2,66,160,0.413
85,Cal Poly (Big Sky),11,3-8,57,138,0.413
86,Ark.-Pine Bluff (SWAC),11,2-9,56,134,0.418
87,Abilene Christian (ASUN),11,5-6,65,155,0.419
88,The Citadel (SoCon),11,0-11,47,112,0.42
89,South Dakota (MVFC),13,10-3,68,162,0.42
89,Yale (Ivy League),10,7-3,68,162,0.42
91,Illinois St. (MVFC),11,6-5,64,152,0.421
92,Lehigh (Patriot),11,2-9,67,157,0.427
93,Texas Southern (SWAC),11,3-8,73,170,0.429
94,Eastern Ky. (ASUN),11,5-6,65,151,0.43
95,Western Caro. (SoCon),11,7-4,64,148,0.432
96,Idaho (Big Sky),13,9-4,79,182,0.434
97,Marist (Pioneer),11,4-7,56,129,0.434
98,Morehead St. (Pioneer),11,4-7,66,152,0.434
99,Eastern Wash. (Big Sky),11,4-7,61,140,0.436
100,Indiana St. (MVFC),11,1-10,62,142,0.437
101,Colgate (Patriot),11,6-5,66,151,0.437
102,Idaho St. (Big Sky),11,3-8,64,146,0.438
103,Stony Brook (CAA),10,0-10,54,123,0.439
104,Houston Christian (Southland),10,5-5,63,142,0.444
105,Missouri St. (MVFC),11,4-7,64,144,0.444
106,Saint Francis (PA) (NEC),10,4-6,63,141,0.447
107,Cornell (Ivy League),10,3-7,56,124,0.452
108,Delaware St. (MEAC),11,1-10,54,119,0.454
109,Portland St. (Big Sky),11,5-6,60,132,0.455
110,Campbell (CAA),11,5-6,66,145,0.455
111,Lamar University (Southland),11,6-5,62,136,0.456
