Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Georgia,SEC,2-0,32.9,1,44.3,3,11.5,5,0.2,13,,12-Sep,7:30 PM,Arizona State at Texas State,Arizona State,0.4,51%,30-30,Arizona State -1.5,Texas State,1.1,58.5,Over,1.2
Ohio State,Big Ten,2-0,31.0,2,37.1,13,6.4,2,0.2,3,,12-Sep,7:30 PM,Northwestern State at South Alabama,South Alabama,33.3,98%,47-13,,,,,,
Alabama,SEC,2-0,30.4,3,43.8,5,13.5,7,0.1,54,,13-Sep,7:00 PM,UNLV at Kansas,Kansas,9.1,72%,36-27,Kansas -7,Kansas,2.1,58.5,Over,5.0
Texas,SEC,2-0,29.4,4,44.3,2,14.7,10,-0.2,114,,13-Sep,8:00 PM,Arizona at Kansas State,Kansas State,9.3,72%,35-25,Kansas State -7.5,Kansas State,1.8,56.5,Over,3.8
Ole Miss,SEC,2-0,28.7,5,44.9,1,16.2,11,0.0,61,,14-Sep,12:00 PM,Alabama at Wisconsin,Alabama,17.5,86%,33-15,Alabama -15,Alabama,2.5,51.5,Under,-4.0
Tennessee,SEC,2-0,24.2,6,40.4,9,16.3,13,0.1,34,,14-Sep,12:00 PM,Arkansas State at Michigan,Michigan,28.9,96%,40-11,Michigan -24,Michigan,4.9,46.5,Over,4.5
Missouri,SEC,2-0,24.1,7,40.5,8,16.5,15,0.1,25,,14-Sep,12:00 PM,Central Michigan at Illinois,Illinois,21.8,91%,36-14,Illinois -17.5,Illinois,4.3,53.5,Under,-3.9
Penn State,Big Ten,2-0,22.0,8,35.0,19,13.1,6,0.1,50,,14-Sep,12:00 PM,Cincinnati at Miami-OH,Cincinnati,5.7,64%,26-21,Cincinnati -2,Cincinnati,3.7,45.5,Over,1.3
Oregon,Big Ten,2-0,21.4,9,42.3,7,20.8,31,0.0,81,,14-Sep,12:00 PM,Louisiana Tech at NC State,NC State,20.1,90%,37-17,NC State -22,Louisiana Tech,1.9,51.5,Over,2.2
Miami-FL,ACC,2-0,19.7,10,39.8,11,20.0,27,-0.1,82,,14-Sep,12:00 PM,LSU at South Carolina,LSU,3.6,59%,31-27,LSU -7,South Carolina,3.4,52.5,Over,5.4
Utah,Big 12,2-0,18.3,11,32.7,34,14.3,9,-0.2,116,,14-Sep,12:00 PM,Memphis at Florida State,Florida State,1.2,53%,31-29,Florida State -5,Memphis,3.8,52.5,Over,7.6
USC,Big Ten,2-0,17.2,12,44.0,4,26.8,67,0.1,41,,14-Sep,12:00 PM,North Texas at Texas Tech,Texas Tech,7.9,69%,38-30,Texas Tech -11.5,North Texas,3.6,68.5,Under,-1.3
Michigan,Big Ten,1-1,17.0,13,27.7,67,10.9,3,0.2,24,,14-Sep,12:00 PM,Oklahoma State at Tulsa,Oklahoma State,20.4,90%,42-21,Oklahoma State -19,Oklahoma State,1.4,62.5,Over,0.4
Notre Dame,Indies,1-1,16.8,14,32.9,33,16.2,12,0.1,44,,14-Sep,12:45 PM,Boston College at Missouri,Missouri,22.4,92%,39-16,Missouri -16,Missouri,6.4,54.5,Over,0.4
Louisville,ACC,2-0,16.7,15,34.5,23,17.6,17,-0.1,103,,14-Sep,1:00 PM,Massachusetts at Buffalo,Buffalo,9.8,73%,29-19,Buffalo -5.5,Buffalo,4.3,45.5,Over,3.1
Kansas State,Big 12,2-0,16.2,16,36.6,14,20.5,30,0.1,32,,14-Sep,2:00 PM,Coastal Carolina at Temple,Coastal Carolina,25.8,95%,41-16,Coastal Carolina -17,Coastal Carolina,8.8,52.5,Over,4.3
LSU,SEC,1-1,15.6,17,42.3,6,26.7,66,0.0,74,,14-Sep,3:30 PM,Ball State at Miami-FL,Miami-FL,37.6,99%,46-9,Miami-FL -36.5,Miami-FL,1.1,54.5,Over,0.3
Clemson,ACC,1-1,15.6,18,34.9,20,19.3,24,0.0,59,,14-Sep,3:30 PM,Morgan State at Ohio,Ohio,29.3,97%,34-5,,,,,,
Oklahoma,SEC,2-0,15.6,19,32.7,36,17.1,16,0.1,52,,14-Sep,3:30 PM,Nevada at Minnesota,Minnesota,25.6,95%,36-11,Minnesota -14.5,Minnesota,11.1,43.5,Over,3.8
Texas A&M,SEC,1-1,15.0,20,34.4,25,19.6,25,0.2,4,,14-Sep,3:30 PM,Notre Dame at Purdue,Notre Dame,11.2,76%,31-20,Notre Dame -10.5,Notre Dame,0.7,45.5,Over,5.8
Oklahoma State,Big 12,2-0,13.8,21,38.6,12,24.9,51,0.1,40,,14-Sep,3:30 PM,Oregon at Oregon State,Oregon,13.4,80%,36-23,Oregon -14,Oregon State,0.6,50.5,Over,8.1
Iowa,Big Ten,1-1,13.6,22,19.5,109,6.0,1,0.1,33,,14-Sep,3:30 PM,Prairie View A&M at Michigan State,Michigan State,39.8,99%,40-0,,,,,,
Auburn,SEC,1-1,13.3,23,32.3,38,19.0,22,0.1,46,,14-Sep,3:30 PM,Texas A&M at Florida,Texas A&M,2.5,56%,30-27,Texas A&M -3.5,Florida,1.0,49.5,Over,7.9
Washington,Big Ten,2-0,13.1,24,35.1,18,22.0,36,0.1,29,,14-Sep,3:30 PM,Tulane at Oklahoma,Oklahoma,15.2,83%,34-18,Oklahoma -14,Oklahoma,1.2,50.5,Over,1.6
UCF,Big 12,2-0,12.4,25,34.5,22,22.4,37,0.2,8,,14-Sep,3:30 PM,VMI at Georgia Tech,Georgia Tech,41.3,100%,53-11,,,,,,
TCU,Big 12,2-0,10.7,26,34.1,28,23.4,40,0.0,69,,14-Sep,3:30 PM,Washington State at Washington,Washington,9.6,73%,35-25,Washington -4.5,Washington,5.1,55.5,Over,4.4
Memphis,AAC,2-0,10.6,27,39.9,10,29.5,82,0.1,39,,14-Sep,3:30 PM,West Virginia at Pittsburgh,West Virginia,3.1,58%,30-27,West Virginia -2.5,West Virginia,0.6,59.5,Under,-2.8
Nebraska,Big Ten,2-0,10.4,28,21.7,96,11.1,4,-0.2,126,,14-Sep,4:00 PM,Appalachian State at East Carolina,East Carolina,3.5,59%,29-25,Appalachian State -2.5,East Carolina,6.0,56.5,Under,-2.1
Wisconsin,Big Ten,2-0,10.4,29,24.0,90,13.8,8,0.1,35,,14-Sep,4:00 PM,Troy at Iowa,Iowa,23.9,93%,32-8,Iowa -22,Iowa,1.9,38.5,Over,0.8
Iowa State,Big 12,2-0,10.1,30,27.8,66,17.7,18,0.0,71,,14-Sep,4:15 PM,UAB at Arkansas,Arkansas,22.1,92%,43-20,Arkansas -22,Arkansas,0.1,58.5,Over,4.5
Florida,SEC,1-1,9.8,31,35.2,16,25.5,55,0.2,1,,14-Sep,4:30 PM,Utah at Utah State,Utah,29.8,97%,44-14,Utah -22,Utah,7.8,46.5,Over,10.9
